fips,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
51600,46.29234972677595,47.99452054794521,54.18356164383562,55.33698630136986,52.76323119777159,55.84931506849315,57.87123287671233,63.2,63.60655737704918,50.1013698630137,47.821917808219176,54.5013698630137,32.65040650406504,22.35483870967742,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.987078910936779,
51610,,,,,,,,26.82857142857143,32.12,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51630,54.823170731707314,55.922077922077925,,,,,,,,21.0,19.483333333333334,22.0,18.966101694915253,19.114754098360656,17.524590163934427,18.728813559322035,17.508196721311474,19.885245901639344,19.050847457627118,17.083333333333332,16.603448275862068,14.60655737704918,15.610169491525424,15.098039215686274,16.64406779661017,17.96551724137931,18.333333333333332,17.83050847457627,15.459016393442623,13.583333333333334,16.637931034482758,15.053571428571429,13.566666666666666,11.526315789473685,11.068965517241379,12.052631578947368,10.983050847457626,8.090909090909092,,,,,
51650,63.18390804597701,44.37428571428571,44.86968838526912,51.59943977591036,43.16717325227963,49.18559556786703,45.823691460055095,52.06611570247934,47.21067415730337,41.32773109243698,46.58730158730159,56.82203389830509,52.063291139240505,63.69098712446352,54.016877637130804,51.65546218487395,52.212765957446805,62.52261306532663,60.686440677966104,52.24916943521595,41.743169398907106,41.472375690607734,44.95068493150685,37.201101928374655,35.568306010928964,39.202739726027396,37.33424657534247,36.62465753424657,36.43013698630137,13.474747474747474,47.14233576642336,40.97260273972603,41.557377049180324,35.799442896935936,37.31318681318681,37.153424657534245,34.20165745856354,36.78630136986301,35.110497237569064,37.02472527472528,32.4207650273224,20.765323867337592,17.595864661654137
51670,,,,,,,,,26.423076923076923,25.67241379310345,25.098360655737704,23.733333333333334,,,,,,,,,,,,,,,14.181818181818182,19.29310344827586,18.566666666666666,13.610169491525424,14.327272727272728,14.174603174603174,12.666666666666666,11.693548387096774,11.288135593220339,10.416666666666666,10.95,10.508196721311476,9.62295081967213,8.824561403508772,7.208333333333333,7.886792452830188,8.5625
51680,,,,,,,,,28.09090909090909,27.413793103448278,22.475409836065573,24.883333333333333,21.639344262295083,23.583333333333332,21.633333333333333,22.23728813559322,20.74576271186441,20.83050847457627,19.2,53.660714285714285,56.76623376623377,51.47826086956522,50.925233644859816,48.010416666666664,45.46610169491525,48.77685950413223,46.73913043478261,48.421052631578945,39.398305084745765,34.049180327868854,38.99145299145299,33.92857142857143,31.17391304347826,30.228813559322035,31.504347826086956,29.586206896551722,28.141666666666666,26.657894736842106,26.625,26.25,22.40909090909091,26.714285714285715,22.433333333333334
51690,,,,,,,,,,26.767857142857142,22.524590163934427,21.884615384615383,20.033898305084747,21.016666666666666,20.25423728813559,20.016949152542374,18.508474576271187,18.08,17.03448275862069,,,,,,,,,,,,,,,,,,,,,,,,
51700,21.628099173553718,23.54237288135593,24.030555555555555,23.830985915492956,21.75774647887324,16.95277777777778,17.791208791208792,15.846796657381615,13.412568306010929,12.867768595041323,13.024657534246575,13.35068493150685,12.295081967213115,13.065753424657535,12.887640449438202,12.04931506849315,11.53888888888889,10.753424657534246,8.173669467787114,27.263392857142858,48.849557522123895,45.76146788990825,45.45614035087719,43.973684210526315,,,,,,35.43846153846154,21.571428571428573,,,,,,,,,,,14.70299727520436,
51710,21.24198250728863,23.951289398280803,21.94943820224719,21.939560439560438,21.331491712707184,18.506849315068493,21.11038961038961,22.14835164835165,18.975409836065573,35.73424657534247,35.36986301369863,37.224657534246575,36.05464480874317,37.81095890410959,35.912328767123284,33.964383561643835,33.69398907103825,35.26301369863014,35.63013698630137,36.33972602739726,36.439890710382514,37.31232876712329,37.24931506849315,35.06318681318681,35.31967213114754,47.496,37.331288343558285,29.805479452054794,30.601092896174862,27.711920529801326,40.385245901639344,27.418282548476455,22.920765027322403,21.367123287671234,22.671232876712327,21.81917808219178,19.395027624309392,19.96694214876033,18.86027397260274,20.623626373626372,18.112328767123287,15.376783921148842,12.019837898652218
51740,,,,,,,,,,20.25,20.049180327868854,20.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51760,47.31944444444444,37.04683195592286,41.64109589041096,41.40547945205479,41.939890710382514,41.465753424657535,39.46849315068493,44.73424657534247,44.58469945355191,41.58082191780822,40.31506849315068,39.97260273972603,38.59836065573771,40.26027397260274,38.74794520547945,38.83287671232877,37.17486338797814,36.40821917808219,35.895890410958906,51.71232876712329,53.90710382513661,55.865753424657534,52.38356164383562,52.02191780821918,44.19672131147541,29.687671232876713,30.52054794520548,28.788300835654596,24.87704918032787,22.684931506849313,23.89041095890411,20.84931506849315,21.472677595628415,24.869565217391305,18.378082191780823,40.53972602739726,35.59779614325069,30.643835616438356,34.58791208791209,34.828729281767956,30.09065934065934,22.777162891361414,19.603021978021978
51770,,,,,,41.25,51.333333333333336,32.54347826086956,31.857142857142858,34.872727272727275,36.39344262295082,33.31666666666667,32.59016393442623,19.5414364640884,21.63013698630137,19.03943661971831,18.609550561797754,18.827397260273973,17.095890410958905,23.76164383561644,26.614754098360656,26.28099173553719,26.397260273972602,31.782978723404256,24.69607843137255,23.834757834757834,22.81111111111111,48.49041095890411,43.69125683060109,37.06027397260274,39.038356164383565,39.778082191780825,36.505464480874316,30.03061224489796,,,,,,,,10.422824536376606,
51775,40.61559888579387,41.16618911174785,18.12957746478873,13.53781512605042,13.908839779005525,11.701949860724234,9.700280112044817,10.181818181818182,,,,,,,,,,,,51.45977011494253,56.12820512820513,53.678260869565214,53.8235294117647,50.33620689655172,51.644067796610166,56.378151260504204,45.95652173913044,,39.25,38.52066115702479,41.2436974789916,38.9375,36.31818181818182,34.74074074074074,34.891666666666666,34.16101694915254,31.596491228070175,28.767857142857142,28.79646017699115,27.652542372881356,24.618181818181817,21.137677141096734,25.266666666666666
